conID,electionID,partyCode,partyName,candidateName,votes,voteShare,voteShareChange
1,3,LAB,Labour,Stephen Kinnock,17008,53.8,-14.3
1,3,CON,Conservative,Charlotte Lang,6518,20.6,2.9
1,3,BRX,The Brexit Party,Glenda Davies,3108,9.8,9.8
1,3,PC,Plaid Cymru,Nigel Hunt,2711,8.6,0.3
1,3,LD,Liberal Democrat,Sheila Kingston-Jones,1072,3.4,1.6
1,3,IND,Independent,Captain Beany,731,2.3,2.3
1,3,GRN,Green,Giorgia Finney,450,1.4,1.4
2,3,CON,Conservative,Robin Millar,14687,46.1,1.5
2,3,LAB,Labour,Emily Owen,12653,39.7,-2.9
2,3,PC,Plaid Cymru,Lisa Goodier,2704,8.5,-1.4
2,3,LD,Liberal Democrat,Jason Edwards,1821,5.7,2.8
3,3,SNP,Scottish National Party,Kirsty Blackman,20205,54.0,12.7
3,3,CON,Conservative,Ryan Houghton,7535,20.1,-2.6
3,3,LAB,Labour,Nurul Ali,4939,13.2,-16.8
3,3,LD,Liberal Democrat,Isobel Davidson,2846,7.6,3.0
3,3,BRX,The Brexit Party,Seb Leslie,1008,2.7,2.7
3,3,GRN,Green,Guy Ingerson,880,2.4,2.4
4,3,SNP,Scottish National Party,Stephen Flynn,20388,44.7,13.2
4,3,CON,Conservative,Douglas Lumsden,16398,35.9,-6.2
4,3,LD,Liberal Democrat,Ian Yuill,5018,11.0,5.1
4,3,LAB,Labour,Shona Simpson,3834,8.4,-12.1
5,3,CON,Conservative,Andrew Bowie,22752,42.7,-5.2
5,3,SNP,Scottish National Party,Fergus Mutch,21909,41.1,8.6
5,3,LD,Liberal Democrat,John Waddell,6253,11.7,3.1
5,3,LAB,Labour,Paddy Coffield,2431,4.6,-6.5
6,3,SNP,Scottish National Party,Neil Gray,17929,45.1,7.5
6,3,LAB,Labour,Helen McFarlane,12728,32.0,-5.1
6,3,CON,Conservative,Lorraine Nolan,7011,17.6,-5.6
6,3,LD,Liberal Democrat,William Crossman,1419,3.6,1.5
6,3,GRN,Green,Rosemary McGowan,685,1.7,1.7
7,3,CON,Conservative,Leo Docherty,27980,58.4,3.3
7,3,LAB,Labour,Howard Kaye,11282,23.5,-8.1
7,3,LD,Liberal Democrat,Alan Hilliar,6920,14.4,7.0
7,3,GRN,Green,Donna Wallace,1750,3.7,1.4
8,3,CON,Conservative,Wendy Morton,27850,70.8,5.4
8,3,LAB,Labour,David Morgan,8014,20.4,-9.5
8,3,LD,Liberal Democrat,Ian Garrett,2371,6.0,2.7
8,3,GRN,Green,Bill McComish,771,2.0,2.0
8,3,MRLP,Monster Raving Loony Party,Mark Beech,336,0.9,-0.6
9,3,CON,Conservative,Graham Brady,26311,48.0,-3.0
9,3,LAB,Labour,Andrew Western,20172,36.8,-2.0
9,3,LD,Liberal Democrat,Angela Smith,6036,11.0,3.3
9,3,GRN,Green,Geraldine Coggins,1566,2.9,1.0
9,3,LIB,Liberal Party,Neil Taylor,454,0.8,0.3
9,3,IND,Independent,Iram Kiani,224,0.4,0.4
10,3,LAB,Labour,Mark Tami,18271,42.5,-9.6
10,3,CON,Conservative,Sanjoy Sen,18058,42.0,1.6
10,3,BRX,The Brexit Party,Simon Wall,2678,6.2,6.2
10,3,LD,Liberal Democrat,Donna Lalek,2548,5.9,3.5
10,3,PC,Plaid Cymru,Susan Hills,1453,3.4,0.8
11,3,CON,Conservative,Nigel Mills,29096,63.9,7.3
11,3,LAB,Labour,Adam Thompson,12210,26.8,-11.6
11,3,LD,Liberal Democrat,Kate Smith,2873,6.3,3.9
11,3,GRN,Green,Lian Pizzey,1388,3.0,1.6
12,3,SNP,Scottish National Party,Dave Doogan,21216,49.1,10.6
12,3,CON,Conservative,Kirstene Hair,17421,40.4,-4.8
12,3,LD,Liberal Democrat,Ben Lawrie,2482,5.7,2.5
12,3,LAB,Labour,Monique Miller,2051,4.8,-8.3
13,3,PC,Plaid Cymru,Hywel Williams,13134,45.2,4.3
13,3,LAB,Labour,Steffie Williams Roberts,10353,35.6,-4.9
13,3,CON,Conservative,Gonul Daniels,4428,15.2,-1.1
13,3,BRX,The Brexit Party,Gary Gribben,1159,4.0,4.0
14,3,SNP,Scottish National Party,Brendan O&#39;Hara,21040,43.8,7.8
14,3,CON,Conservative,Gary Mulvaney,16930,35.2,2.0
14,3,LD,Liberal Democrat,Alan Reid,6832,14.2,-4.0
14,3,LAB,Labour,Rhea Barnes,3248,6.8,-5.8
15,3,CON,Conservative,Andrew Griffith,35566,57.9,-4.4
15,3,LD,Liberal Democrat,Alison Bennett,13045,21.2,13.3
15,3,LAB,Labour,Bella Sankey,9722,15.8,-6.9
