conID,conName,ons
1,Aberavon,W07000049
2,Aberconwy,W07000058
3,Aberdeen North,S14000001
4,Aberdeen South,S14000002
5,Aberdeenshire West & Kincardine,S14000058
6,Airdrie & Shotts,S14000003
7,Aldershot,E14000530
8,Aldridge-Brownhills,E14000531
9,Altrincham & Sale West,E14000532
10,Alyn & Deeside,W07000043
11,Amber Valley,E14000533
12,Angus,S14000004
13,Arfon,W07000057
14,Argyll & Bute,S14000005
15,Arundel & South Downs,E14000534
16,Ashfield,E14000535
17,Ashford,E14000536
18,Ashton-under-Lyne,E14000537
19,Aylesbury,E14000538
20,"Ayr, Carrick & Cumnock",S14000006
21,Ayrshire Central,S14000010
22,Ayrshire North & Arran,S14000048
23,Banbury,E14000539
24,Banff & Buchan,S14000007
25,Barking,E14000540
26,Barnsley Central,E14000541
27,Barnsley East,E14000542
28,Barrow & Furness,E14000543
29,Basildon & Billericay,E14000544
30,Basildon South & Thurrock East,E14000933
31,Basingstoke,E14000545
32,Bassetlaw,E14000546
33,Bath,E14000547
34,Batley & Spen,E14000548
35,Battersea,E14000549
36,Beaconsfield,E14000550
37,Beckenham,E14000551
38,Bedford,E14000552
39,Bedfordshire Mid,E14000813
40,Bedfordshire North East,E14000841
41,Bedfordshire South West,E14000949
42,Belfast East,N06000001
43,Belfast North,N06000002
44,Belfast South,N06000003
45,Belfast West,N06000004
46,Bermondsey & Old Southwark,E14000553
47,Berwick-upon-Tweed,E14000554
48,"Berwickshire, Roxburgh & Selkirk",S14000008
49,Bethnal Green & Bow,E14000555
50,Beverley & Holderness,E14000556
51,Bexhill & Battle,E14000557
52,Bexleyheath & Crayford,E14000558
53,Birkenhead,E14000559
54,Birmingham Edgbaston,E14000560
55,Birmingham Erdington,E14000561
56,Birmingham Hall Green,E14000562
57,Birmingham Hodge Hill,E14000563
58,Birmingham Ladywood,E14000564
59,Birmingham Northfield,E14000565
60,Birmingham Perry Barr,E14000566
61,Birmingham Selly Oak,E14000567
62,Birmingham Yardley,E14000568
63,Bishop Auckland,E14000569
64,Blackburn,E14000570
65,Blackley & Broughton,E14000571
66,Blackpool North & Cleveleys,E14000572
67,Blackpool South,E14000573
68,Blaenau Gwent,W07000072
69,Blaydon,E14000574
70,Blyth Valley,E14000575
71,Bognor Regis & Littlehampton,E14000576
72,Bolsover,E14000577
73,Bolton North East,E14000578
74,Bolton South East,E14000579
75,Bolton West,E14000580
76,Bootle,E14000581
77,Boston & Skegness,E14000582
78,Bosworth,E14000583
79,Bournemouth East,E14000584
80,Bournemouth West,E14000585
81,Bracknell,E14000586
82,Bradford East,E14000587
83,Bradford South,E14000588
84,Bradford West,E14000589
85,Braintree,E14000590
86,Brecon & Radnorshire,W07000068
87,Brent Central,E14000591
88,Brent North,E14000592
89,Brentford & Isleworth,E14000593
90,Brentwood & Ongar,E14000594
91,Bridgend,W07000073
92,Bridgwater & Somerset West,E14000595
93,Brigg & Goole,E14000596
94,Brighton Kemptown,E14000597
95,Brighton Pavilion,E14000598
96,Bristol East,E14000599
97,Bristol North West,E14000600
98,Bristol South,E14000601
99,Bristol West,E14000602
100,Broadland,E14000603
101,Bromley & Chislehurst,E14000604
102,Bromsgrove,E14000605
103,Broxbourne,E14000606
104,Broxtowe,E14000607
105,Buckingham,E14000608
106,Burnley,E14000609
107,Burton,E14000610
108,Bury North,E14000611
109,Bury South,E14000612
110,Bury St Edmunds,E14000613
111,Caerphilly,W07000076
112,"Caithness, Sutherland & Easter Ross",S14000009
113,Calder Valley,E14000614
114,Camberwell & Peckham,E14000615
115,Camborne & Redruth,E14000616
116,Cambridge,E14000617
117,Cambridgeshire North East,E14000842
118,Cambridgeshire North West,E14000855
119,Cambridgeshire South,E14000934
120,Cambridgeshire South East,E14000937
121,Cannock Chase,E14000618
122,Canterbury,E14000619
123,Cardiff Central,W07000050
124,Cardiff North,W07000051
125,Cardiff South & Penarth,W07000080
126,Cardiff West,W07000079
127,Carlisle,E14000620
128,Carmarthen East & Dinefwr,W07000067
129,Carmarthen West & Pembrokeshire South,W07000066
130,Carshalton & Wallington,E14000621
131,Castle Point,E14000622
132,Ceredigion,W07000064
133,Charnwood,E14000625
134,Chatham & Aylesford,E14000626
135,Cheadle,E14000627
136,Chelmsford,E14000628
137,Chelsea & Fulham,E14000629
138,Cheltenham,E14000630
139,Chesham & Amersham,E14000631
140,"Chester, City of",E14000640
141,Chesterfield,E14000632
142,Chichester,E14000633
143,Chingford & Woodford Green,E14000634
144,Chippenham,E14000635
145,Chipping Barnet,E14000636
146,Chorley,E14000637
147,Christchurch,E14000638
148,Cities of London & Westminster,E14000639
149,Clacton,E14000642
150,Cleethorpes,E14000643
151,Clwyd South,W07000062
152,Clwyd West,W07000059
153,"Coatbridge, Chryston & Bellshill",S14000011
154,Colchester,E14000644
155,Colne Valley,E14000645
156,Congleton,E14000646
157,Copeland,E14000647
158,Corby,E14000648
159,Cornwall North,E14000837
160,Cornwall South East,E14000938
161,"Cotswolds, The",E14000991
162,Coventry North East,E14000649
163,Coventry North West,E14000650
164,Coventry South,E14000651
165,Crawley,E14000652
166,Crewe & Nantwich,E14000653
167,Croydon Central,E14000654
168,Croydon North,E14000655
169,Croydon South,E14000656
170,"Cumbernauld, Kilsyth & Kirkintilloch East",S14000012
171,Cynon Valley,W07000070
172,Dagenham & Rainham,E14000657
173,Darlington,E14000658
174,Dartford,E14000659
175,Daventry,E14000660
176,Delyn,W07000042
177,Denton & Reddish,E14000661
178,Derby North,E14000662
179,Derby South,E14000663
180,Derbyshire Dales,E14000664
181,Derbyshire Mid,E14000814
182,Derbyshire North East,E14000843
183,Derbyshire South,E14000935
184,Devizes,E14000665
185,Devon Central,E14000623
186,Devon East,E14000678
187,Devon North,E14000838
188,Devon South West,E14000950
189,Devon West & Torridge,E14001000
190,Dewsbury,E14000666
191,Don Valley,E14000667
192,Doncaster Central,E14000668
193,Doncaster North,E14000669
194,Dorset Mid & Poole North,E14000815
195,Dorset North,E14000839
196,Dorset South,E14000936
197,Dorset West,E14001031
