conID,electionID,winningParty,headline,majority,electorate,turnout,turnoutChange
1,3,LAB,HOLD,10490,50747,62.3,-4.4
2,3,CON,HOLD,2034,44699,71.3,0.2
3,3,SNP,HOLD,12670,62489,59.9,0.7
4,3,SNP,GAIN FROM CON,3990,65719,69.4,1.0
5,3,CON,HOLD,843,72640,73.4,2.2
6,3,SNP,HOLD,5201,64008,62.1,2.9
7,3,CON,HOLD,16698,72617,66.0,1.8
8,3,CON,HOLD,19836,60138,65.4,-1.2
9,3,CON,HOLD,6139,73096,74.9,2.8
10,3,LAB,HOLD,213,62783,68.5,-2.5
11,3,CON,HOLD,16886,69976,65.1,-2.2
12,3,SNP,GAIN FROM CON,3795,63952,67.5,4.5
13,3,PC,HOLD,2781,42215,68.9,0.7
14,3,SNP,HOLD,4110,66525,72.2,0.7
15,3,CON,HOLD,22521,81726,75.1,-0.7
16,3,CON,GAIN FROM LAB,5733,78204,62.6,-1.4
17,3,CON,HOLD,24029,89553,67.1,-1.5
18,3,LAB,HOLD,4263,67978,56.8,-3.7
19,3,CON,HOLD,17373,86665,69.9,-1.3
20,3,SNP,GAIN FROM CON,2329,71970,64.7,-0.1
21,3,SNP,HOLD,5304,69742,66.7,1.4
22,3,SNP,HOLD,8521,73534,65.5,0.7
23,3,CON,HOLD,16813,90116,69.8,-3.6
24,3,CON,HOLD,4118,66655,63.4,1.8
25,3,LAB,HOLD,15427,77953,57.1,-4.8
26,3,LAB,HOLD,3571,65277,56.5,-4.3
27,3,LAB,HOLD,3217,69504,54.8,-4.1
28,3,CON,GAIN FROM LAB,5789,70158,65.6,-2.9
29,3,CON,HOLD,20412,69906,63.1,-1.8
30,3,CON,HOLD,19922,74441,60.8,-3.2
31,3,CON,HOLD,14198,82928,66.0,-2.4
32,3,CON,GAIN FROM LAB,14013,80024,63.5,-3.0
33,3,LD,HOLD,12322,67805,76.9,2.6
34,3,LAB,HOLD,3525,79558,66.5,-0.6
35,3,LAB,HOLD,5668,79350,75.6,4.6
36,3,CON,HOLD,15712,77720,74.5,2.2
37,3,CON,HOLD,14258,68662,73.6,-2.4
38,3,LAB,HOLD,145,71581,66.1,-1.4
39,3,CON,HOLD,24664,87795,73.7,-1.3
40,3,CON,HOLD,24283,90679,71.7,-1.7
41,3,CON,HOLD,18583,79926,66.7,-3.1
42,3,DUP,HOLD,1819,66245,64.1,-3.5
43,3,SF,GAIN FROM DUP,1943,72225,67.9,0.6
44,3,SDLP,GAIN FROM DUP,15401,69984,67.7,1.5
45,3,SF,HOLD,14672,65644,59.1,-6.0
46,3,LAB,HOLD,16126,93248,62.9,-4.1
47,3,CON,HOLD,14835,59939,70.3,-1.5
48,3,CON,HOLD,5148,74518,71.3,-0.2
49,3,LAB,HOLD,37524,88262,68.6,-0.9
50,3,CON,HOLD,20448,79696,67.2,-1.8
51,3,CON,HOLD,26059,81963,72.1,-1.0
52,3,CON,HOLD,13103,65466,66.1,-3.1
53,3,LAB,HOLD,17705,63762,66.4,-1.3
54,3,LAB,HOLD,5614,68828,61.5,-2.6
55,3,LAB,HOLD,3601,66148,53.3,-3.9
56,3,LAB,HOLD,28508,80283,65.9,-3.5
57,3,LAB,HOLD,28655,78295,57.5,-3.8
58,3,LAB,HOLD,28582,74912,56.2,-2.8
59,3,CON,GAIN FROM LAB,1640,73694,58.5,-2.8
60,3,LAB,HOLD,15317,72006,58.5,-4.5
61,3,LAB,HOLD,12414,82665,59.8,-6.0
62,3,LAB,HOLD,10659,74704,57.1,-4.2
63,3,CON,GAIN FROM LAB,7962,68170,65.7,1.8
64,3,LAB,HOLD,18304,71234,62.8,-4.4
65,3,LAB,HOLD,14402,73372,52.6,-3.4
66,3,CON,HOLD,8596,63692,60.9,-3.2
67,3,CON,GAIN FROM LAB,3690,57690,56.8,-3.0
68,3,LAB,HOLD,8647,50736,59.6,-3.7
69,3,LAB,HOLD,5531,67853,67.3,-2.9
70,3,CON,GAIN FROM LAB,712,64429,63.4,-3.6
71,3,CON,HOLD,22503,77446,66.1,-1.6
72,3,CON,GAIN FROM LAB,5299,74292,61.8,-1.5
73,3,CON,GAIN FROM LAB,378,67564,64.5,-2.7
74,3,LAB,HOLD,7598,69163,58.7,-2.7
75,3,CON,HOLD,8855,73191,67.4,-2.8
76,3,LAB,HOLD,34556,74832,65.7,-3.3
77,3,CON,HOLD,25621,69381,60.1,-2.6
78,3,CON,HOLD,26278,81542,69.2,0.4
